"","plot_id","C200.ca","C200.enn_cv","C200.ca_m2","Monitor","site_name","layer"
"1",1,0.0289043955635288,200.785728979104,289.043955635288,"FOCG1","Mansion House","1"
"2",2,2.37016043620937,83.3303911356233,23701.6043620937,"FOCG2","Barber Surgeon ","1"
"3",3,0.118718053750558,162.165840996212,1187.18053750558,"FOCG3","Wood Street ","1"
"4",4,0.187328487510344,46.1345335307163,1873.28487510344,"FOCG4","79 Charterhouse ","1"
"5",5,0.432965842195559,142.189508093218,4329.65842195559,"FOCG5","Guildhall ","1"
"6",6,0.0855130041758368,4.56555586866594,855.130041758367,"FOCG6","Weil","1"
"7",7,0.0251038176001574,243.07217973158,251.038176001574,"FOCG7","Nomura","1"
"8",8,0.169125719369991,51.0334683456183,1691.25719369991,"FOCG8","Algate School","1"
"9",9,0.110316776147301,47.7156763823569,1103.16776147301,"FOCG9","Cannon Bridge","1"
"10",10,0.114617430158492,112.727236501326,1146.17430158492,"FOCG10","120 Fenchurch ","1"
"11",11,0.402361188069469,115.8038530758,4023.61188069469,"FOCG11","Cleary Garden ","1"
"12",12,2.01840694417868,0,20184.0694417868,"FOCG12","Inner Temple ","1"
"13",13,0.231335179717793,92.6537593149021,2313.35179717793,"FOCG13","St Dunstan ","1"
"14",14,0.635896702397635,126.138120333886,6358.96702397635,"FOCG14","Christchurch Greyfrairs","1"
"15",15,0.124718966324292,162.584918373316,1247.18966324292,"FOCG15","Walbrook Wharf","1"
