"","plot_id","C150.ca","C150.enn_cv","C150.ca_m2","Monitor","site_name","layer"
"1",1,0.129906362622864,141.624716084715,1299.06362622864,"FOCG1","Mansion House","3"
"2",2,0.0744036441812248,266.328840625072,744.036441812248,"FOCG2","Barber Surgeon ","3"
"3",3,0.211010334976323,120.442396507732,2110.10334976323,"FOCG3","Wood Street ","3"
"4",4,0.00050002449046522,6.6503811585173e-13,5.0002449046522,"FOCG4","79 Charterhouse ","3"
"5",5,0.0513025127217316,89.1155943250678,513.025127217316,"FOCG5","Guildhall ","3"
"6",6,0.252212352990634,114.286974479406,2522.12352990634,"FOCG6","Weil","3"
"7",7,0.483523682279868,74.1923383394694,4835.23682279868,"FOCG7","Nomura","3"
"8",8,0.167808219000128,222.869182286795,1678.08219000128,"FOCG8","Algate School","3"
"9",9,0.439721536915115,57.6666360757999,4397.21536915115,"FOCG9","Cannon Bridge","3"
"10",10,0.143607033661611,35.5376510419658,1436.07033661611,"FOCG10","120 Fenchurch ","3"
"11",11,0.195409570873808,181.08257126493,1954.09570873808,"FOCG11","Cleary Garden ","3"
"12",12,0.00260012735041915,NA,26.0012735041915,"FOCG12","Inner Temple ","3"
"13",13,0.00950046531883919,116.216644270637,95.0046531883919,"FOCG13","St Dunstan ","3"
"14",14,0.538626381129136,50.7643185328024,5386.26381129136,"FOCG14","Christchurch Greyfrairs","3"
"15",15,0.547226802365137,77.0214151293596,5472.26802365137,"FOCG15","Walbrook Wharf","3"
