"","plot_id","C200.ca","C200.enn_cv","C200.ca_m2","Monitor","site_name","layer"
"1",1,0.183208973306492,137.221849984239,1832.08973306492,"FOCG1","Mansion House","3"
"2",2,0.267413097500852,258.33881313971,2674.13097500852,"FOCG2","Barber Surgeon ","3"
"3",3,0.333716344936553,132.951534820603,3337.16344936553,"FOCG3","Wood Street ","3"
"4",4,0.0014000685733033,45.298004803914,14.000685733033,"FOCG4","79 Charterhouse ","3"
"5",5,0.179708801873235,288.044255152483,1797.08801873235,"FOCG5","Guildhall ","3"
"6",6,0.285313974259565,114.745872056244,2853.13974259565,"FOCG6","Weil","3"
"7",7,0.653331999241993,79.4591501990195,6533.31999241993,"FOCG7","Nomura","3"
"8",8,0.167908223898302,222.869182286811,1679.08223898302,"FOCG8","Algate School","3"
"9",9,0.632830995132926,78.0523633798275,6328.30995132926,"FOCG9","Cannon Bridge","3"
"10",10,0.176208630440029,188.120135110741,1762.08630440029,"FOCG10","120 Fenchurch ","3"
"11",11,0.446721879781715,140.711229929271,4467.21879781715,"FOCG11","Cleary Garden ","3"
"12",12,0.00450022041418809,0,45.0022041418809,"FOCG12","Inner Temple ","3"
"13",13,0.120905921794549,216.868131152926,1209.05921794549,"FOCG13","St Dunstan ","3"
"14",14,0.991448559694631,170.130165974916,9914.48559694631,"FOCG14","Christchurch Greyfrairs","3"
"15",15,0.783938396151524,125.789178713728,7839.38396151524,"FOCG15","Walbrook Wharf","3"
