"","plot_id","C200.ca","C200.enn_cv","C200.ca_m2","Monitor","site_name","layer"
"1",1,0.2840139105843,179.572517099122,2840.139105843,"FOCG1","Mansion House","2"
"2",2,2.13340449101932,111.551239121201,21334.0449101932,"FOCG2","Barber Surgeon ","2"
"3",3,1.36166669243515,138.404101646397,13616.6669243515,"FOCG3","Wood Street ","2"
"4",4,0.543826635830237,187.711335471348,5438.26635830238,"FOCG4","79 Charterhouse ","2"
"5",5,0.884943343225519,113.753527782262,8849.43343225519,"FOCG5","Guildhall ","2"
"6",6,0.326015967783449,68.6106110975267,3260.15967783449,"FOCG6","Weil","2"
"7",7,0.274613450163556,219.579877558283,2746.13450163556,"FOCG7","Nomura","2"
"8",8,0.695534066237459,204.476095112822,6955.34066237459,"FOCG8","Algate School","2"
"9",9,0.506324799045197,294.9714996052,5063.24799045197,"FOCG9","Cannon Bridge","2"
"10",10,0.176408640236215,133.271903912394,1764.08640236215,"FOCG10","120 Fenchurch ","2"
"11",11,1.16215692073949,162.181635600099,11621.5692073949,"FOCG11","Cleary Garden ","2"
"12",12,0.0296014498355483,17.3337564535365,296.014498355483,"FOCG12","Inner Temple ","2"
"13",13,0.481323574522055,105.810213539233,4813.23574522055,"FOCG13","St Dunstan ","2"
"14",14,1.24686106942432,90.343611886199,12468.6106942432,"FOCG14","Christchurch Greyfrairs","2"
"15",15,0.568827860353345,211.985705206896,5688.27860353345,"FOCG15","Walbrook Wharf","2"
