"","plot_id","C150.ca","C150.enn_cv","C150.ca_m2","Monitor","site_name","layer"
"1",1,0.108705324227139,51.8466759336392,1087.05324227139,"FOCG1","Mansion House","2"
"2",2,0.89654391140414,99.9845720353934,8965.4391140414,"FOCG2","Barber Surgeon ","2"
"3",3,0.713134928301497,121.477232167283,7131.34928301498,"FOCG3","Wood Street ","2"
"4",4,0.108105294838581,70.8559335588212,1081.05294838581,"FOCG4","79 Charterhouse ","2"
"5",5,0.692733929090516,145.283080196134,6927.33929090516,"FOCG5","Guildhall ","2"
"6",6,0.217410648454258,114.252775050563,2174.10648454258,"FOCG6","Weil","2"
"7",7,0.258612666468612,260.433642109891,2586.12666468612,"FOCG7","Nomura","2"
"8",8,0.595629173042171,104.251771251179,5956.29173042171,"FOCG8","Algate School","2"
"9",9,0.210710320282044,255.414887450646,2107.10320282044,"FOCG9","Cannon Bridge","2"
"10",10,0.141106911209285,121.774104136108,1411.06911209285,"FOCG10","120 Fenchurch ","2"
"11",11,0.531626038262622,142.235729479395,5316.26038262622,"FOCG11","Cleary Garden ","2"
"12",13,0.395019347467524,104.956971737428,3950.19347467524,"FOCG13","St Dunstan ","2"
"13",14,0.731835844244897,62.482396890656,7318.35844244897,"FOCG14","Christchurch Greyfrairs","2"
"14",15,0.309815174292251,189.411701305505,3098.15174292251,"FOCG15","Walbrook Wharf","2"
